screen_name,id_str,created_at,coordinates,place,text,geo_location
SongDespins,1154120585611362304,2019-07-24 20:06:04,,,#tornado struck north of Waskatenau at 1400h.  It's receded already but it looks like it will again. https://t.co/anEVGDorBR,
ChrisGNBCBoston,1154120359924371461,2019-07-24 20:05:10,,,"Tornado 2: Harwich to Harwich 2.77 mile path, 250 yards wind... 110 MPH winds. https://t.co/lmgVyWt56g",
NBC10Boston,1154120348222337026,2019-07-24 20:05:08,,,#BREAKING: NWS confirms 2 tornadoes touched down on Cape Cod Tuesday https://t.co/14Tz5DBDAg,
RogerWMTW,1154120289661403138,2019-07-24 20:04:54,,,"From NWS Boston .. ""Two high end EF-1 tornadoes were confirmed on Cape Cod yesterday w/ maximum wind speed of 110 m… https://t.co/uiExynoMob",
monsoonwalker,1154120229351501826,2019-07-24 20:04:39,,,"unrestrained;
talkative;
discrimination;
stubborn;
dreary;
persecution for political beliefs;
impatient;
resentful;
maxmimalist;
tornado-D8",
ChrisGNBCBoston,1154120133327151109,2019-07-24 20:04:16,,,Tornado 1 from Kalmis MA to South Yarmouth - path 5.52 miles... 110 MPH winds. 250 yards wide. On ground from 11:57… https://t.co/AME5qJWUlQ,
iembot_rah,1154120004993990658,2019-07-24 20:03:46,"{'type': 'Point', 'coordinates': [-78.74, 35.59]}","Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='3b98b02fba3f9753', url='https://api.twitter.com/1.1/geo/id/3b98b02fba3f9753.json', place_type='admin', name='North Carolina', full_name='North Carolina, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-84.3219475, 33.752879], [-75.40012, 33.752879], [-75.40012, 36.588118], [-84.3219475, 36.588118]]]), attributes={})","At 2:34 PM EDT, 3 E Fuquay-Varina [Wake Co, NC] NWS STORM SURVEY reports TORNADO. A BRIEF TORNADO TOUCHDOWN OCCURRE… https://t.co/1QwSyRyzQt","{'type': 'Point', 'coordinates': [35.59, -78.74]}"
greeenorg,1154119923347742720,2019-07-24 20:03:26,,,Gov. to Seek Disaster Declaration for Cape Cod Tornado - https://t.co/caqhJhzpRv,
amazingcc,1154119881610027008,2019-07-24 20:03:16,,,"@realDonaldTrump Hey Bro, you ever seen a tornado? Or a woman when she catches you checking out another honey? Or a… https://t.co/T9yXwEtCc2",
Kellen_Browning,1154119864723955715,2019-07-24 20:03:12,,"Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='32bcaa0873310167', url='https://api.twitter.com/1.1/geo/id/32bcaa0873310167.json', place_type='city', name='Northwest Harwich', full_name='Northwest Harwich, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-70.134147, 41.654913], [-70.06522, 41.654913], [-70.06522, 41.726046], [-70.134147, 41.726046]]]), attributes={})","After the tornado, Linda Boyle, 67, did the only thing that made sense — go to a restaurant to celebrate… https://t.co/iStUUbfCkB",
TimmyMieldezis,1154119615338962945,2019-07-24 20:02:13,,,"Human rights, socialism 

Tomato, tornado

Or something like that I guess. https://t.co/JRGIeAjpkO",
drjustinimel,1154119582392696832,2019-07-24 20:02:05,,,"Rare tornado strikes Cape Cod, Massachusetts | Dr. Justin Imel, Sr. https://t.co/n07z2utvfP",
NWSBoston,1154119467468595200,2019-07-24 20:01:38,,,[BREAKING] Two high end EF-1 tornadoes were confirmed on Cape Cod yesterday w/ maximum wind speed of 110 mph. The d… https://t.co/StmhjQc2CA,
drgilwatson,1154119455980642304,2019-07-24 20:01:35,,,We are in Cape Cod. One day after the tornado. We still have no power but some of the shops are open. Note the tree… https://t.co/0j2Yzsw7SL,
Ryanraichu661,1154119448992739329,2019-07-24 20:01:33,,,@ESF1_ROB @KindKirbyy Finally someone who like tornado better than wheel,
KimWBZ,1154119415958556673,2019-07-24 20:01:25,,,.@MassGovernor says the greatest challenge on the Cape is getting enough resources on the ground to clean up the th… https://t.co/ytoLlb1yLJ,
ImpalerGarg,1154119401702137856,2019-07-24 20:01:22,,,"@realDonaldTrump Sooo, will it be a tornado or tsunami that takes you away from us #DerangedDonald ?",
wendolynxoxo,1154119398262812674,2019-07-24 20:01:21,,,"@_PlayOverwatch @ham__tornado Alexa, google how to delete other peoples tweets",
carriagehousein,1154119338477215744,2019-07-24 20:01:07,"{'type': 'Point', 'coordinates': [-69.96027778, 41.68194444]}","Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='007612b47e6f836b', url='https://api.twitter.com/1.1/geo/id/007612b47e6f836b.json', place_type='city', name='Chatham', full_name='Chatham, MA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-70.038436, 41.66068], [-69.945158, 41.66068], [-69.945158, 41.71547], [-70.038436, 41.71547]]]), attributes={})","Goodbye Tornado, Hello Perfect Beachh weather day!  #dogsofcapecod #chatham #capecodinn @ Chatham, Massachusetts https://t.co/RQrbmiMZlN","{'type': 'Point', 'coordinates': [41.68194444, -69.96027778]}"
Laighe,1154119253068525568,2019-07-24 20:00:47,,,@TranslateRealDT @realDonaldTrump I'm hoping a tornado of truth will spin 🍄 right out of the White House.,
gerebi_kincaid,1154119232432594957,2019-07-24 20:00:42,,,@delgeo1 Im going to be thinking about this for the next tornado 😂 😘,
KatrinaKNews,1154119216817233920,2019-07-24 20:00:38,,,#TORNADO IMPACT: Will the Cape Cod tornado impact local businesses and tourism? 22News spoke to one business owner… https://t.co/YXQyOsp9Za,
GABkicksass,1154119165239681024,2019-07-24 20:00:26,,"Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='737fcb9daae404ac', url='https://api.twitter.com/1.1/geo/id/737fcb9daae404ac.json', place_type='city', name='Boise', full_name='Boise, ID', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-116.374494, 43.510172], [-116.101508, 43.510172], [-116.101508, 43.685894], [-116.374494, 43.685894]]]), attributes={})",@jimkohl @realDonaldTrump He hides from it like one hides in the cellar during a tornado warning,
iembot_box,1154119079675990018,2019-07-24 20:00:05,,,"BOX issues Public Information Statement (PNS) at Jul 24, 3:59 PM EDT ...NWS DAMAGE SURVEY FOR 07/23/19 TORNADO EVEN… https://t.co/6iF3TZfPBI",
WOWT6News,1154119062030622721,2019-07-24 20:00:01,,,"""Terrified,” Mya said. ""I thought I was going to blow away. I was just crying.”  https://t.co/8FiqamNm9r",
tornado_talk,1154119058201153536,2019-07-24 20:00:00,,,Details on yesterday’s #tornado and straight line wind damage in Cape Cod!  #mawx https://t.co/C05LZnclgn,
tonysho19887106,1154119005797539842,2019-07-24 19:59:48,,,@realDonaldTrump An F5 tornado 🌪 descending  on the Democrats!,
River_Tornado,1154118962768039936,2019-07-24 19:59:37,,,@KSchroeder_312 @calstampeders It would scare the adults too.,
SFAgentHunter1,1154118939930005504,2019-07-24 19:59:32,,,"Be Ready Tip: Heavy blankets or an old mattress can help protect you from flying debris if a tornado hits, so keep… https://t.co/iKn65B7wSj",
leahlenoresmith,1154118937489158145,2019-07-24 19:59:31,,,@MollyJongFast Then he's in the middle of tornado hurricane tsunami cyclone and a snowstorm all at once.,
Jennifer_Eagan,1154118909710209024,2019-07-24 19:59:25,,,Coming up on #WCVB the latest on the tornado damage in #Harwich and when Eversource believes lose will be back on for everyone.,
panarin_misha,1154118909102047237,2019-07-24 19:59:25,,,@Cox_Box_Tornado I started rewatching it out of pure teen nostalgia some months back and tbh it mostly holds up. It… https://t.co/VEDhKE6Rib,
Sara_HeartStory,1154118891582492674,2019-07-24 19:59:20,,,@jcookwriter It was scary. I was on edge until my mom called me to say they were OK. I think the tornado passed wit… https://t.co/aGO0cyz1aj,
SpeakerDeLeo,1154118666860007424,2019-07-24 19:58:27,,,"My thoughts are with the Cape Cod communities recovering from 
yesterday’s devastating tornado. As the recovery unf… https://t.co/4PjR7EnMkp",
jsrafuse_art,1154118603702198273,2019-07-24 19:58:12,,,"“That’s making the fires hotter and more dangerous, especially when they produce pyrocumulonimbus clouds—towering c… https://t.co/sQMO4GIr8n",
BrittanyABC11,1154118477231329286,2019-07-24 19:57:42,,,The @NWSRaleigh confirms an EF-0 tornado touched down in Willow Springs yesterday. An EF-1 tornado also touched dow… https://t.co/LIKuL412BY,
Cox_Box_Tornado,1154118390522556416,2019-07-24 19:57:21,,,"@panarin_misha Man, I kinda miss Bleach",
cher1511,1154118349103648768,2019-07-24 19:57:11,,,Tornado hits Cape Cod as thunderstorms break the heat https://t.co/vxM4I7kdLq via @MailOnline,
PlaysGore,1154118329289674752,2019-07-24 19:57:06,,,"I was just in the men's room at my psychiatrist's office and it looked like a tornado used the toilet last, come on dudes?!?!",
SharkyGreen,1154118178600960000,2019-07-24 19:56:30,,"Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='0134e6167ff7f6ec', url='https://api.twitter.com/1.1/geo/id/0134e6167ff7f6ec.json', place_type='city', name='Summerlin South', full_name='Summerlin South, NV', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-115.355825, 36.082837], [-115.314862, 36.082837], [-115.314862, 36.1590808], [-115.355825, 36.1590808]]]), attributes={})","@HeatherNews3LV I love it! I grew up in tornado Kansas, then I was in @usairforce my Basic Training was during the… https://t.co/x74kjs9UgV",
searchgirl40,1154118051408666624,2019-07-24 19:56:00,,,"A swashbuckling management style may be trendy in some industries, but it takes strategy to deal with it daily when… https://t.co/C6ujxuyrw9",
JohnLeo48765381,1154118001534427138,2019-07-24 19:55:48,,,Winds rip roof off hotel as rare tornado hits Cape Cod - CBS News https://t.co/QNInnC78Je via @GoogleNews,
mitchib1440,1154117932986904576,2019-07-24 19:55:32,,,"@TheVashaun We only have little thunder storms in the UK. Never seen a tornado, never seen a cyclone, never seen a… https://t.co/S3Qb1NKA8e",
iembot_rah,1154117708587425792,2019-07-24 19:54:38,,,"RAH issues Public Information Statement (PNS) at Jul 24, 3:54 PM EDT ...NWS DAMAGE SURVEY FOR WILLOW SPRING TORNADO… https://t.co/GUP8ewzq8v",
TA_Cares,1154117629436542976,2019-07-24 19:54:19,,,"A swift-moving wildfire prompted the evacuation of non-essential personnel from INL facilities in Idaho, and the NW… https://t.co/jzhEh9DPpY",
Rick_see,1154117600567275520,2019-07-24 19:54:13,,,@realDonaldTrump Like a deadly tornado.  Everything you touch turns to shit.,
Lance62243339,1154117186186858510,2019-07-24 19:52:34,,,@ChatByCC @realDonaldTrump Like a tornado or hurricane or tropical depression.... https://t.co/SnfSiODYF1,
drkirstenw,1154117097955500032,2019-07-24 19:52:13,,,@realDonaldTrump And like a man in a tornado you hid in the cellar from it.,
Greencastellan,1154117094625013760,2019-07-24 19:52:12,,,Still no power after tornado yesterday.....damn fridge had to be dumped ;-;,
ham__tornado,1154116910067396608,2019-07-24 19:51:28,,,"What goes on behind the scenes in the making of a Boopasaurus? 

Definitely worth watching this great interview by… https://t.co/AmQJcGUwZO",
305Pirate,1154116810721124358,2019-07-24 19:51:04,,"Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='0061242d5cb078dc', url='https://api.twitter.com/1.1/geo/id/0061242d5cb078dc.json', place_type='city', name='Ellenton', full_name='Ellenton, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[-82.549081, 27.509901], [-82.453485, 27.509901], [-82.453485, 27.5761863], [-82.549081, 27.5761863]]]), attributes={})","@realDonaldTrump Yes - yes it is

And you are being swallowed by a TORNADO-Hurricane-Tsunami of it

#MuellerHearings #TrumpIsAFelon",
Rblou78,1154116766366236673,2019-07-24 19:50:54,,,@TeciaTorres @ufc That’s some hard work!!! Go tiny tornado!!!!! 🌪,
RyleeIsSleepy,1154116738327486464,2019-07-24 19:50:47,,,@realDonaldTrump Spin is not truth but it does go round and round like a tornado.,
Ruthann6171,1154116596580982786,2019-07-24 19:50:13,,,@realDonaldTrump If that was true you’d be buried under a double wide by a Tornado.,
BostonGlobe,1154116553283121152,2019-07-24 19:50:03,,,Governor Charlie Baker said Wednesday that state officials will seek a federal disaster declaration to support reco… https://t.co/IbVLxLIMS4,
drjustinimel,1154116460026793984,2019-07-24 19:49:41,,,"Rare tornado strikes Cape Cod, Massachusetts https://t.co/n07z2uL67n",
hexeducation,1154116396210634755,2019-07-24 19:49:25,,,"@realDonaldTrump It is. Sometimes it’s fast, like a tornado. In your case, it’s like water. It will etch itself in… https://t.co/qbOmqy7G7R",
boston25,1154116303503970305,2019-07-24 19:49:03,,,Gov. Baker to seek disaster declaration for Cape Cod tornado https://t.co/UHTx4smjRV,
sunnygirl0531,1154115847566311425,2019-07-24 19:47:15,,"Place(_api=<tweepy.api.API object at 0x10f0244e0>, id='cd003ebe3a96fcc6', url='https://api.twitter.com/1.1/geo/id/cd003ebe3a96fcc6.json', place_type='city', name='Haarlemmermeer', full_name='Haarlemmermeer, Nederland', country_code='NL', country='The Netherlands', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f0244e0>, type='Polygon', coordinates=[[[4.5505577, 52.2144875], [4.8191001, 52.2144875], [4.8191001, 52.3863713], [4.5505577, 52.3863713]]]), attributes={})",A Mississippi Tornado Left Our Hope Animal Sanctuary in Ruins! https://t.co/82LjDrJurY,
P_saltatrix5446,1154115727751823360,2019-07-24 19:46:46,,,"@BarnacoatWBZ @ericfisher @wbz @sarahwroblewski @ritchotte Yes, @sarahwroblewski did an excellent job. Watched the… https://t.co/jN8UNJ1eMJ",
PaPaShArMFbI,1154115592812548096,2019-07-24 19:46:14,,,High winds rip roof off hotel as rare tornado strikes Massachusetts' Cape Cod https://t.co/1xdkFsNkhm via @CBSNews,
lyrah_s,1154115472402583552,2019-07-24 19:45:45,,,"Ok, I've tried to be the lady I was raised to be, but that hearing was a trainwreck in the middle of a hurricane, e… https://t.co/3uMxwYWbbW",
Dan_Hamell,1154115396481572864,2019-07-24 19:45:27,,,@realDonaldTrump The shit tornado that flies out of your mouth every time it opens has NOTHING to do with nature!,
TLavigneWx,1154115223651069957,2019-07-24 19:44:46,,,@PeteNBCBoston The video exhibits that peeling as well. Plus theres no sight of the tornado on those videos either.… https://t.co/ONdx9cWcj9,
Livingbyjill,1154114909531246594,2019-07-24 19:43:31,,,@realDonaldTrump And Republicans are hoping if they just turn off the tornado sirens everything will be fine,
therivetgroup,1154114888890847232,2019-07-24 19:43:26,,,"A swashbuckling management style may be trendy in some industries, but it takes strategy to deal with it daily when… https://t.co/krETKMKTMe",
JoyfullyDazed,1154114873095311360,2019-07-24 19:43:22,,,"@realDonaldTrump #MuellerHearing #MuellerTime ,

Yes, it is, Donnie, and today it was a tornado that blew a hole in… https://t.co/L64IbTm8NZ",
cryptics,1154114839880642560,2019-07-24 19:43:14,,,@mildevv my only cake went to the tornado,
tornado_giggles,1154114642123350017,2019-07-24 19:42:27,,,@PichuTG Just be gay,
stuartlowman,1154114567250882560,2019-07-24 19:42:09,,,Manage the disruptor boss - The Wall Street Journal - https://t.co/65hNG1muDP,
KuntryCoolBreeZ,1154114555049578496,2019-07-24 19:42:06,,,@whittweetsit And we wonder why there’s so many hyper sexual and hyper violent black men. We’re forced to bottle up… https://t.co/OuEft5rYZc,
k_proberts,1154114552201695232,2019-07-24 19:42:06,,,@RealPressSecBot And @realDonaldTrump is facing an F5 tornado of truth.,
captainclaude,1154114538695905280,2019-07-24 19:42:03,,,@ComicPrintingUK swear to god i thought she's been sucked away in a tornado and become some kind of wicked witch,
Didier_Wx,1154114529795727360,2019-07-24 19:42:00,,,"@205mph No, the tornado warned one was a week after that roughly and was for the northern extremity of sunbury coun… https://t.co/9PGv0BITiR",
s_doncaster14,1154114480202309632,2019-07-24 19:41:49,,,@FedEx if you god damn block the road once more in this island that just got rocked by a tornado and there is barel… https://t.co/c3aRBEvCas,
HolesomeGay,1154114459444502528,2019-07-24 19:41:44,,,Hopefully more forces of nature take your supporters out. This tornado and hurricane season has been lame. https://t.co/4s520WrwFH,
notreallykeith,1154114369262936064,2019-07-24 19:41:22,,,"@realDonaldTrump It must be a tornado, and it blew you to Oz.",
NEFireChiefs,1154114179105796097,2019-07-24 19:40:37,,,"On 7/24/08 a #tornado left a path of destruction 50 miles long across NH, leaving one dead and a million+ dollars o… https://t.co/GMsU6TIm5y",
